State,  Population 3 years and over enrolled in school,"    Nursery school, preschool",    Kindergarten,    Elementary school (grades 1-8),    High school (grades 9-12),    College or graduate school,  Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate degree,    Bachelor's degree,    Graduate or professional degree,    Percent high school graduate or higher,    Percent bachelor's degree or higher,  Population 15 years and over,    Never married,"    Now married, except separated",    Separated,    Widowed,      Female,    Divorced,      Female,  Grandparent living in household with one or more own grandchildren under 18 years,    Grandparent responsible for grandchildren,  Civilian population 18 years and over,    Civilian veterans,  Population 5 to 20 years,    With a disability,  Population 21 to 64 years,    With a disability,      Percent employed,    No disability,      Percent employed,  Population 65 years and over,    With a disability,  Population 5 years and over,    Same house in 1995,    Different house in the U.S. in 1995,      Same county,      Different county,        Same state,        Different state,    Elsewhere in 1995,NATIVITY AND PLACE OF BIRTH,  Total population,    Native,      Born in United States,        State of residence,        Different state,      Born outside United States,    Foreign born,      Entered 1990 to March 2000,      Naturalized citizen,      Not a citizen,  Total (excluding born at sea),    Europe,    Asia,    Africa,    Oceania,    Latin America,    Northern America,  Population 5 years and over,    English only,    Language other than English,      Speak English less than 'very well,      Spanish,"        Speak English less than ""very well""",      Other Indo-European languages,"        Speak English less than ""very well""",      Asian and Pacific Island languages,"        Speak English less than ""very well""",  Total population,  Total ancestries reported,    Arab,    Czech[1],    Danish,    Dutch,    English,    French (except Basque)[1],    French Canadian[1],    German,    Greek,    Hungarian,    Irish[1],    Italian,    Lithuanian,    Norwegian,    Polish,    Portuguese,    Russian,    Scotch-Irish,    Scottish,    Slovak,    Subsaharan African,    Swedish,    Swiss,    Ukrainian,    United States or American,    Welsh,    West Indian (excluding Hispanic groups),    Other ancestries
Georgia,2211688,176842,126641,1003495,468155,436555,5185965,393197,718152,1486006,1058692,269740,829873,430305,78.6,24.3,6366625,1739859,3436236,148126,385627,320320,656777,378960,193825,92265,5954362,768675,1914727,157923,4732912,940344,57.3,3792568,77.6,754654,358545,7594476,3735653,3615402,1605130,2010272,1044714,965558,243421,,8186453,7609180,7519654,4735652,2784002,89526,577273,344763,169232,408041,577273,74257,145696,40423,2021,300357,14519,7594476,6843038,751438,374251,426115,246269,168629,52754,116456,63320,8186453,7092016,17203,14561,12216,73217,664569,126233,26954,571238,16325,15293,642566,163218,6573,33858,82765,7544,32001,142642,140682,5680,98049,37346,9946,9197,1102178,33029,45380,2961553
Hawaii,320842,17909,16697,136318,70170,79748,802477,57805,66006,228832,175092,64701,142493,67548,84.6,26.2,965875,292324,512891,15305,58167,47439,87188,48232,49237,14029,878220,120587,259802,17120,669691,118555,58.8,551136,75.9,157997,64144,1134351,643806,443794,294618,149176,24016,125160,46751,,1211537,999308,968947,689056,279891,30361,212229,72394,127532,84697,212229,10479,176707,1040,13452,6788,3763,1134351,832226,302125,143505,18820,4960,14242,3165,267157,134782,1211537,1373593,1622,2437,3058,7221,51653,17818,3444,70384,1766,2104,53005,22094,926,9632,10770,48527,4930,9100,13014,419,1934,8985,1946,1270,17045,3919,1437,1003133
Idaho,368579,20764,19149,165698,85576,77392,787505,41039,79322,224322,215204,57003,116901,53714,84.7,21.7,991624,226558,594983,11624,52913,42773,105546,56914,17447,8110,920973,136584,331689,23755,701760,117039,58.3,584721,78.8,140644,59704,1196793,593848,581979,286443,295536,112607,182929,20966,,1293953,1229873,1219118,610929,608189,10755,64080,30570,21203,42877,64080,12064,8073,545,512,38344,4542,1196793,1084914,111879,46539,80241,36459,19460,5461,8105,3553,1293953,1363713,1446,7657,35702,32214,234467,38240,8922,244209,2960,2672,129788,34553,1193,46308,14715,4187,5810,23314,41367,681,843,45704,11923,1957,108091,20220,489,264081
Illinois,3450604,253102,189795,1490164,707505,810038,7973671,597684,882759,2212291,1720386,482502,1317182,760867,81.4,26.1,9707837,2804684,5206193,175757,653789,535281,867414,498204,258038,103717,9158208,1003572,2880883,221924,7053044,1203915,57.4,5849129,77.5,1416418,573878,11547505,6558427,4635247,3010802,1624445,959323,665122,353831,,12419293,10890235,10768063,8335553,2432510,122172,1529058,687564,603521,925537,1529058,389928,359812,26158,2553,731397,19210,11547505,9326786,2220719,1054722,1253676,665995,640237,253352,248800,111065,12419293,13248253,52798,152461,59632,195847,831820,267850,45664,2440549,95064,55971,1513005,744274,87294,178923,932996,7593,121397,126963,150255,42966,73194,303044,37505,47623,569102,51769,27286,4035408
Indiana,1603554,108711,88979,714684,338493,352687,3893278,206540,489000,1447734,768856,225535,475247,280366,82.1,19.4,4771040,1185042,2687609,63396,316750,260881,518243,286806,96169,48181,4504723,590476,1421914,117507,3434336,635620,60.8,2798716,80.2,707369,301630,5657818,3110861,2471808,1444124,1027684,576287,451397,75149,,6080485,5893951,5861618,4215694,1645924,32333,186534,97460,70983,115551,186529,43305,49613,7308,985,77457,7861,5657818,5295736,362082,143427,185576,84355,126530,37637,36707,17798,6080485,5589916,11680,18565,12244,134700,540079,148848,19386,1377902,18711,35715,656369,141486,10051,34174,183989,2846,19007,79932,100264,21806,22104,58175,35567,8118,730331,36392,3632,1127843
Iowa,792057,52114,40105,336676,175856,187306,1895856,105424,158012,683942,405748,140640,278350,123740,86.1,21.2,2324863,579279,1343339,23583,167895,139486,210767,114747,28201,13073,2192132,292020,680631,49880,1602398,244183,63,1358215,84,403731,152602,2738499,1558455,1141884,637431,504453,289612,214841,38160,,2926324,2835239,2823872,2188424,635448,11367,91085,52335,29951,61134,91083,20326,30162,3978,544,32824,3249,2738499,2578477,160022,68108,79491,36606,49032,15651,25335,13606,2926324,3096503,4432,60029,66954,134076,277487,75548,9958,1046153,5754,3366,395905,49449,2572,166667,32704,1114,7685,41407,43402,1655,6991,95337,16300,2021,196807,22841,941,328948
Kansas,756960,51305,39071,325595,164536,176453,1701207,88124,149675,507612,417722,99096,290271,148707,86,25.8,2100656,505452,1220202,25013,138336,114268,211653,117035,35274,17873,1962154,267452,645211,46507,1464501,246092,62,1218409,82.1,330661,137088,2500360,1310009,1138888,606365,532523,255737,276786,51463,,2688418,2553683,2532564,1600274,932290,21119,134735,74260,44763,89972,134733,15032,38028,3592,680,73727,3674,2500360,2281705,218655,98207,137247,67973,41207,10778,33203,17412,2688418,2679577,6785,22794,15145,61178,289938,82565,12529,695442,4145,3903,309647,50729,2073,29773,34695,1805,16903,51879,50339,1585,9205,64308,14018,2577,237358,21882,1796,584581
Kentucky,1007452,62338,55163,458749,224835,206367,2646397,309293,375707,888277,490170,129481,271418,182051,74.1,17.1,3217167,730035,1844628,57237,231630,191833,353637,195846,69504,35818,3028902,380618,896862,81136,2321603,557971,46.9,1763632,76.5,476540,235049,3776230,2112135,1618114,932537,685577,366998,318579,45981,,4041769,3961498,3940549,2980272,960277,20949,80271,47225,27569,52702,80265,20575,26814,3229,471,25627,3549,3776230,3627757,148473,58871,70061,30842,51025,15307,21031,10794,4041769,3264319,7191,4913,4191,49072,391542,66147,8112,514955,4733,6499,424133,62383,1945,10826,28251,1611,7571,66340,60301,2231,12539,13801,9454,2444,846105,18245,2815,635969
Louisiana,1271299,89597,69264,571548,282890,258000,2775468,257710,441342,899354,561486,95798,339711,180067,74.8,18.7,3466380,992616,1774491,90106,255120,208297,354047,202501,122240,67058,3232426,392486,1110715,103727,2445674,540838,51.4,1904836,72.7,489574,235482,4153367,2452282,1659059,1017457,641602,388082,253520,42026,,4468976,4353091,4327681,3546980,780701,25410,115885,42849,56102,59783,115880,18062,43464,4016,577,46561,3200,4153367,3771003,382364,116907,105189,38609,225750,53948,41963,21755,4468976,4135701,13553,5346,4221,25108,232816,545558,179739,315346,5929,4625,315417,195561,1577,11520,19200,2550,6858,52905,38097,1069,31945,11476,3289,1702,449714,9993,5689,1644898
Maine,321041,17558,15482,146178,74607,67216,869893,47183,80105,314600,165111,63934,129992,68968,85.4,22.9,1028823,245864,579456,12555,73012,59020,117936,66025,13053,5074,969780,154590,278711,24991,733415,141018,54.7,592397,81.6,174998,71901,1204164,717407,476244,275685,200559,92560,107999,10513,,1274923,1238232,1226444,857515,368929,11788,36691,10383,20252,16439,36689,11000,6949,1067,239,2197,15237,1204164,1110198,93966,24063,9611,2664,76079,18165,5737,2485,1274923,1373009,3004,2847,5837,13267,274423,181663,110344,85553,5423,2906,192901,58866,4744,9827,24982,5351,7180,33575,61226,1673,1414,21342,1878,2059,120038,9100,881,130705
